,常绿林,夜间灯光,降水数值,县均年降雪量,公立学校,GDP,人均收入,移民,就业,% in Poverty,Clinical Care Rank,Length of Life Rank
0,0.008537106099087083,0.2557887976202549,0.6906864141270295,0.08045977011494254,0.34285714285714286,0.14012354222193793,0.22315484804630958,0.9246716506839555,0.15613237328659604,0.3913043478260869,0.5633802816901409,0.8285714285714286
1,0.17864140400387218,0.05810769698813509,0.28795215038450594,0.7931034482758621,0.19999999999999998,0.0238209692443528,0.10225982411221202,0.8175590599460325,0.028220060928696868,0.34782608695652173,1.0,0.7285714285714286
2,0.3742071903071453,0.10076733258966299,0.3452007974935918,0.16091954022988503,0.14285714285714285,0.07043006942673229,0.16036958699766213,0.7784206779653452,0.07750468350543563,0.2608695652173913,0.09859154929577466,0.8142857142857143
3,0.037766132407039535,0.03211303789338471,0.07405297636001151,0.471264367816092,0.05714285714285715,0.007794635875096956,0.11635311143270621,0.8155812651871887,0.0094480881292544,0.4347826086956522,0.295774647887324,0.45714285714285713
4,0.0077609882387209865,0.08714464388331136,0.24295072628880643,0.103448275862069,0.11428571428571428,0.0925411218838082,0.9999999999999999,1.0,0.0957142906429944,0.0,0.014084507042253521,0.0
5,0.05898097241507953,0.17939357063178177,0.5516946738820852,0.04597701149425287,0.08571428571428572,0.006872183898705505,0.13848380273850613,0.8192812885972566,0.009051327079459163,0.21739130434782605,0.5915492957746479,0.3
6,0.00828323541510763,0.09356725146198831,0.5032754201082312,0.20689655172413796,0.14285714285714285,0.1850932546254729,0.1952354447289325,0.7060899437552661,0.19081273913478491,0.2608695652173913,0.07042253521126761,0.32857142857142857
7,0.10530587445137776,0.23168711760132507,0.5246368555966963,0.06896551724137928,0.6571428571428571,0.5389996451131075,0.7722364466213959,0.9547371701829056,0.5231760204521696,0.043478260869565216,0.02816901408450704,0.07142857142857142
8,0.07300603322335232,0.15350032113037893,0.2814013101680435,0.13793103448275862,0.05714285714285715,0.011238256870497551,0.1143493265056218,0.8114470450554016,0.014766411244553163,0.3913043478260869,0.4507042253521127,0.35714285714285715
9,0.06875222711116051,0.1828076936078153,0.5055539732270007,0.13793103448275862,0.02857142857142857,0.003119743059350389,0.2579761772236445,0.8132758569939199,0.0037933806456509813,0.2608695652173913,0.8450704225352113,0.2571428571428571
10,0.008844215511285582,0.12747185883784606,0.7277129023070352,0.05747126436781608,0.3142857142857143,0.12700445227509322,0.21084270288322393,0.9376352813421546,0.14642725299899603,0.34782608695652173,0.7183098591549296,0.6857142857142857
11,0.03728176785371221,0.19098806747118277,0.5160922814013102,0.03448275862068967,0.14285714285714285,0.0895607504937229,0.22580429700545468,0.8301548029266517,0.09810865732610653,0.2608695652173913,0.1267605633802817,0.2714285714285714
12,0.021606382616624988,0.10026028462292533,0.7254343491882653,0.03448275862068967,0.22857142857142854,0.06263420350985677,0.11031949237448513,0.8449968710419797,0.07592281445038244,0.21739130434782605,0.25352112676056343,0.7428571428571429
13,0.5363143966836296,0.31305141466382724,0.10623753916263201,0.04597701149425287,0.05714285714285715,0.007096051502404771,0.07222531448291225,0.8135476815690931,0.009408412024274875,0.30434782608695654,0.9859154929577465,0.9285714285714286
14,0.03634797705904493,0.32336138998749286,1.0,0.12643678160919541,0.2857142857142857,0.03992711645353084,0.12893242791940318,0.8265869725468868,0.04658147229400339,0.4347826086956522,0.943661971830986,0.15714285714285714
15,0.0,0.12497042220194031,0.515522643121618,0.3218390804597701,0.9999999999999999,1.0,0.191138817766893,0.0,1.0,0.6521739130434783,0.7746478873239437,0.9714285714285714
16,0.08852641063529831,0.3285670824459994,0.44460267729991454,0.0919540229885058,0.14285714285714285,0.022795749261300395,,,,0.2608695652173913,0.4366197183098592,0.8
17,0.4113901460660032,0.17476253253557786,0.7143264027342635,0.103448275862069,0.11428571428571428,0.01414561932920981,0.0,0.8144021543638418,0.017966375363553878,0.3913043478260869,0.8169014084507042,0.8428571428571429
18,0.16186715618714867,0.9603488490011155,0.21874109940188013,0.2873563218390805,0.19999999999999998,0.03296186600670825,0.10791495046198374,0.8014441557238148,0.03651236686941731,0.34782608695652173,0.49295774647887325,0.6571428571428571
19,0.3664659746401919,0.09397288983537844,0.23867843919111387,0.04597701149425287,0.08571428571428572,0.009600019775897499,0.09669375487031051,0.805478380966924,0.014078117075560555,0.4782608695652174,0.35211267605633806,0.9857142857142858
20,0.08518192707748623,0.08095865868911199,0.10766163486186286,0.2988505747126437,0.1714285714285714,0.04981167266794792,0.16036958699766213,0.8475188462736389,0.05656087522037489,0.30434782608695654,0.33802816901408456,0.34285714285714286
21,0.17820456723056402,0.06152181996416861,0.0,0.011494252873563204,0.0,0.0,0.35204274741177766,0.8149909659240585,0.0,0.34782608695652173,0.7464788732394366,0.6
22,0.06886644607515846,0.03383700098029274,0.20136713187126176,0.0,0.05714285714285715,0.013930441375494616,0.10237114549705006,0.8100370214869994,0.017640341283504748,0.2608695652173913,0.6619718309859155,0.19999999999999998
23,0.08844418567221579,0.10962377040868067,0.8046140700655084,0.05747126436781608,0.45714285714285713,0.07601545107060456,0.2559278637426249,0.8972088674319623,0.09487936739038182,0.2608695652173913,0.676056338028169,0.42857142857142855
24,0.14772000799735807,0.19886421255450765,0.20136713187126176,0.03448275862068967,0.19999999999999998,0.026281846376828618,0.1544472893242791,0.8436964061666986,0.037169610173643335,0.2608695652173913,0.6056338028169015,0.5428571428571429
